0	1	0	15.71	7.73	-7.07	-50.71
0	1	1	23.78	11.90	-36.12	-93.97
0	2	0	31.72	15.72	-7.07	-50.71
0	0	2	36.44	18.33	-42.36	-147.44
0	1	2	39.67	19.97	-41.88	-115.43
1	0	-2	41.30	20.61	14.92	37.39
1	2	1	41.27	20.79	-46.96	-51.52
1	1	-2	44.51	22.20	11.29	15.99
0	2	2	48.68	24.46	-36.12	-93.97
1	2	2	52.66	26.59	-54.80	-78.10
0	1	3	58.22	29.32	-43.00	-125.31
0	3	2	61.56	30.88	-30.50	-81.88
1	1	-3	62.07	30.99	20.38	19.90
1	3	-2	65.62	32.66	4.29	-11.51
1	3	2	64.90	32.74	-44.90	-68.72
0	2	3	65.26	32.87	-40.18	-106.92
0	4	0	66.27	32.88	-7.07	-50.71
3	0	-2	71.78	35.37	-14.78	41.35
3	1	-2	73.85	36.56	-16.06	27.73
2	3	-2	75.27	37.52	-7.48	-2.35
0	4	2	77.45	38.82	-26.25	-74.74
2	4	0	78.71	39.44	-28.87	-27.14
3	2	-2	80.27	40.14	-16.48	15.30
1	0	-4	80.40	40.25	27.82	35.44
1	0	4	80.89	40.58	-56.77	-152.09
1	4	-2	81.34	40.43	2.08	-19.08
1	4	2	80.37	40.48	-37.80	-64.03
